,full_text
334,"The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northern districts are rampant. Local tribal sardars use these disputes for power &amp; control over their tribes. 

#JusticeForAjmalSawand 

https://t.co/glRovu1CRa"
335,"RT @DrAnuraagYadav: <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092A><U+0941><U+0932><U+093F><U+0938> ""Honour Killing"" angle <U+0938><U+0947> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0930> <U+0930><U+0939><U+0940> <U+0939><U+0948> <U+092F><U+093E> <U+0928><U+0939><U+0940><U+0902>?

#JusticeForAkankshaDubey"
336,@urooojs Idhr nhi sunta koi m bolti merab pye gi flat pr is bt divorce or honour killing hoti cases hn hmry ps mard ny just doubt biwi ki grdn kaat di pr yeh kehty murtasim ny kiya woh phr jb m kehti k maryam mngni kr rhi shadi kr ly is pr bi honour killing hoti yeh log mjhe biased smjty
337,"RT @DrAnuraagYadav: <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092A><U+0941><U+0932><U+093F><U+0938> ""Honour Killing"" angle <U+0938><U+0947> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0930> <U+0930><U+0939><U+0940> <U+0939><U+0948> <U+092F><U+093E> <U+0928><U+0939><U+0940><U+0902>?

#JusticeForAkankshaDubey"
338,"RT @DrAnuraagYadav: <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092A><U+0941><U+0932><U+093F><U+0938> ""Honour Killing"" angle <U+0938><U+0947> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0930> <U+0930><U+0939><U+0940> <U+0939><U+0948> <U+092F><U+093E> <U+0928><U+0939><U+0940><U+0902>?

#JusticeForAkankshaDubey"
339,"RT @DrAnuraagYadav: <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092A><U+0941><U+0932><U+093F><U+0938> ""Honour Killing"" angle <U+0938><U+0947> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0930> <U+0930><U+0939><U+0940> <U+0939><U+0948> <U+092F><U+093E> <U+0928><U+0939><U+0940><U+0902>?

#JusticeForAkankshaDubey"
340,RT @democracy_stat: @kar_think @HiddenOceanIV @singhkharsh @thara_tau_Verma @DlitRenaissance https://t.co/c5vX9gEEfV
341,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Fri | 7 Apr | 8:19 | BST https://t.co/3dAzgDi67p
342,"RT @DrAnuraagYadav: <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092A><U+0941><U+0932><U+093F><U+0938> ""Honour Killing"" angle <U+0938><U+0947> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0930> <U+0930><U+0939><U+0940> <U+0939><U+0948> <U+092F><U+093E> <U+0928><U+0939><U+0940><U+0902>?

#JusticeForAkankshaDubey"
343,@kar_think @HiddenOceanIV @singhkharsh @thara_tau_Verma @DlitRenaissance https://t.co/c5vX9gEEfV
344,"<U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092A><U+0941><U+0932><U+093F><U+0938> ""Honour Killing"" angle <U+0938><U+0947> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0930> <U+0930><U+0939><U+0940> <U+0939><U+0948> <U+092F><U+093E> <U+0928><U+0939><U+0940><U+0902>?

#JusticeForAkankshaDubey"
345,"@kar_think @HiddenOceanIV @singhkharsh @thara_tau_Verma @DlitRenaissance Here Mr. LALA LAND, I can paste thousands of such incidents, honour killings, dalit killing beating for drinking water, coming to school, dressing good, having a moustache. So you people should be banned all over the world"
346,RT @christyfx: @marlycosta20 Anyone Remember this? The so called “Honour Killing “ was glorified in episode 160?? https://t.co/XO2KYOntT3
347,"@BrokeW0ke @iJasOberoi Casteism yeh karte hai , apne baccho maarte peet te hai , honour killing bhi karte hai etc. expose karna zaroori hai"
348,"Heinous, killing over so-called 'honour'!  

Shooters suspected to be from Sundrani clan gunned down a prominent teacher associated with the Institute of Business Administration, because of an ongoing enmity over “honour.”

#AjmalSawand #Sukkur 

https://t.co/OVSWu2rMRb"
349,"@khairilmazlina @aswaliaaa Negara Islam wanita tak tertindas nye nye nye. Ni kat Lebanon. Perempuan yang kena rogol yang kena bunuh in the ne of honour killing. Again, read more

https://t.co/C0YNRZqv5T"
350,"@greenturtlex12 @PenfieldRod @BBCNews @BBCWorld Also an ""honour"" killing only white society isn't built like brown society and other words are used but the motive is the same, bruised little egos. Don't really know what your point is here?"
351,"RT @DeprivedVoices: Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing…"
352,@BilalKareem We should not feel sad about Shaheed its d highest honour<U+0001F44A>We should b afraid about da questions will be asked to us muslims what we were doing when they were killing innocent<U+0001F1F5><U+0001F1F8> Arab kings will face the serious  consequences..they will go in hell<U+0001F525>first then these terrorist <U+0001F1EE><U+0001F1F1><U+0001F595>
353,@Gabbar0099 We should not feel sad about Shaheed its highest honour<U+261D><U+FE0F>But should be sad about what we as a muslims are doing..the question will be asked to us what we were doing when they were killing <U+0001F1F5><U+0001F1F8> Arab kings will face the consequences..they will go in hell<U+0001F525> first then these scums<U+0001F1EE><U+0001F1F1><U+0001F595>
354,"RT @DeprivedVoices: Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing…"
355,@MuhammadSmiry We should not feel sad about Shaheed its highest honour..but should be sad about what we as a muslims are doing..the question will be asked to us what we were doing when they were killing <U+0001F1F5><U+0001F1F8> Arab kings will face the consequences..they will go in hell<U+0001F525> first then these scums<U+0001F1EE><U+0001F1F1><U+0001F595>
356,"@PoliticsMichael A friend of ours had to run away from his family. They're Pakistani Muslims. He is British but they married him off to his first cousin who came from Pakistan. He realised he was gay. He's now in hiding under threat of honour killing by his own blood. 

Same with a female friend… https://t.co/ql4CQdDt9w"
357,"@Cozy_JD What I hate about these is how vague they are. What was Hitler right about? Reviving Germany's honour? Yeah! Ban degeneracy? Yeah! Animal rights? Yeah! But imprisoning and potentially killing groups? Of course that ain't right, but the ZOG will tell you that's all there is to it."
358,@anayatbaig @GilitBaltistan Investigation is underway how can you say it is honour killing?
359,@LFCMessi10 @SattarFarooqui @Cobratate I've met many Muslim men who are promiscuous &amp; I've never heard of a Muslim man being murdered in an honour-killing for pre-marital relations. Nor have I heard of 9y old boys being hung after being gang raped for bringing shame on their family whilst the rapists get off scot free
360,@P_dknight @HeatherrBlack @dnwiebe @tarahtalk There is no honour in killing.
361,@sherryontopp <U+0905><U+092C><U+0947> <U+092A><U+093E><U+0916><U+0902><U+0921><U+0940>...you went to jail for killing someone !! You are talking as if you have won a badge of honour. Anyways you three are fit for each other.
362,RT @QaseemAzemi: @JonMorotchneck @TalibanPRD @martyrmade Like that time when you invaded countries for baseless lies and killed millions in…
363,"RT @DeprivedVoices: Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing…"
364,"The Cult in this Country use very selective Sharia Law have you noticed? Unlike other cult Country's they don't execute Murderers
/Rapists ,or Cut limbs off for theft but for Women ,still practice so called"" Honour Killing ""and of course Forced interbred Marriage."
365,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Thu | 6 Apr | 20:19 | BST https://t.co/5mNUDqziM0
366,Honour killing is very much tied to religion no matter what the qrts say lol
367,"RT @DeprivedVoices: Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing…"
368,The Edinburgh Honour killing is absolutely shocking.
369,"RT @DeprivedVoices: Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing…"
370,"Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing as an issue of extreme seriousness, there has been little effort on the legislative front to deal with it.
https://t.co/g9BRtXvUsU"
371,RT @shehryar_omer: IBA Sukkur's Prof AjmalSawand was killed by Sundrani tribesmen over an honour killing dispute. A tribal dispute between…
372,"@TistaRealist @inkingmytalent Idk same words for you, also i said that in the context of murders(like people killing eachother for different motives)not in honour killings there's a difference and they may have different law for honour killings otherwise there will loophole of pardoning the perpetrators."
373,"IBA Sukkur's Prof AjmalSawand was killed by Sundrani tribesmen over an honour killing dispute. A tribal dispute between Sawand &amp; Sundrani tribes started 3 years ago over honour killing; 5 people have been killed, including a woman.
#JusticeForAjmalSawand https://t.co/goDpeIDnrK"
374,"Not the white people quoting this talking about “honour killing” “cultural enrichment”  as if white women aren’t victims of domestic violence and murdered at the hands of white men.

Truly are  unhinged individuals https://t.co/dWWE1Kk5LZ"
375,"@DeepikaBhardwaj How is it that the parents can conveniently file a kidnapping case when they clearly know their daughtet eloped? And of course, though there are thousands of cases of honour killing, police just believe that parents have the best interest for their kids."
376,@news24tvchannel Dekhte Hain honour killing hoti hai ki nahi cheeto ko society me
377,"@RealAqibKhan A good fraction, if not majority, of honour killing victims are Muslim women. It gets to a point where you can’t separate people, culture &amp; religion. Your religion, like the all the others, is extremely oppressive to females, if you can’t recognise that, you are very deluded."
378,@ImShoaibQadeer The report said it's an honour killing dispute
379,RT @JustAnAntiDepp1: @InvestingMuslim @MatheronMilson @AliCologne @OliLondonTV Name ONE honour killing carried out by an English Christian…
380,"<U+0625><U+0650><U+0646><U+064E><U+0651><U+0627> <U+0644><U+0650><U+0644><U+0651><U+0647><U+0650> <U+0648><U+064E><U+0625><U+0650><U+0646><U+064E><U+0651><U+0640><U+0627> <U+0625><U+0650><U+0644><U+064E><U+064A><U+0652><U+0647><U+0650> <U+0631><U+064E><U+0627><U+062C><U+0650><U+0639><U+0648><U+0646><U+064E>

Professor killed in Kandhkot over 5-year-old honour killing dispute https://t.co/H5tSwqJIwg"
381,"@ZarrarKhuhro Wasn't there a law to prevent this ? 
Or that law only covered honour killing ?"
382,@GBNEWS @elayne706 So explain how the fk it’s known as an honour killing ? There’s no honour in killing a woman not even shouting at one
383,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
384,"@Marsh4LL1 @SuellaBraverman I'm a Tommy Robinson supporter. Do you know Pakistani women do what their husband's tell them to do? Are responsible for staying quiet on a lot of things their husband's and son's etc get up to, I.e. honour killing etc. 
It is not the colour of the skin, but the crime committed."
385,"@RayMairead Honour killing, very British..
<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F>"
386,"RT @thesedcat: The entire country, including PTI, universally agreed that the media has a great part in sensationalising her life and work.…"
387,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
388,"The entire country, including PTI, universally agreed that the media has a great part in sensationalising her life and work.
Her family knew what she did, the public dishonouring of them via the media -fuelled popularity of Qandeel played a great deal in her honour killing. https://t.co/jBaZ0QO9P1"
389,@muhammadshehad2 Don't you have an honour killing to take care of ?
390,"@zaavia No calling someone out for boasting about their amazing journalistic pieces while having fuelled an honour killing isn’t selective.
It is however tone deaf to justify this with “ but everyone else did it too”.
Also aiding a murder isn’t awful, its professional suicide."
391,@laluwadi_Nitesh Ye kaisa honour hai bhai jise bachane ke liye honour killing hoti hai ??
392,"@zaavia Leaked Qandeel’s personal information in his capacity as a writer for Daily Pakistan, was part of the very media that sensationalised her life which led to her honour killing https://t.co/sgy2mKIvJQ"
393,@InvestingMuslim @MatheronMilson @AliCologne @OliLondonTV Name ONE honour killing carried out by an English Christian or atheist <U+0001F921>
394,RT @evolvingmisfit: @DanyalSandeelo We better get the murderers arrested and get them a death penality under Terrorism Act. Every Tribal fe…
395,@DanyalSandeelo We better get the murderers arrested and get them a death penality under Terrorism Act. Every Tribal feud should be treated as Terrorism. Every honour killing should be treated that way too. Any Sardar who does Jirga should be thrown in jail for 5 years. No appeals.
396,@ADoaue good luck living with a guy who's over protectiveness and jealousy ends up being another case of honour killing
397,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
398,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Thu | 6 Apr | 8:19 | BST https://t.co/dua8iFjqk8
399,@justmoomin Yeah. Padahal there's no honour killing in Islam.
400,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
401,@justmoomin Honour killing is still rampant in Middle East countries.
402,"@SaitamaSenpai9 And in India, we have domestic violence, dowry, child marriage, bride kidnapping, female infanticide and sex selective abortion, honour killing, accusations of witchcraft, sexual harrasment, trafficking. Add to that, low flfp, high gender pay gap. But yeah Western society is...."
403,RT @johnvic48: We know who the ALP supports.A VERY SICK IDEOLOGY Sharia SEX with Babies https://t.co/uWjHYdOIZP RapeVICTIMS caused the Prob…
404,@JonMorotchneck @TalibanPRD @martyrmade Like that time when you invaded countries for baseless lies and killed millions in Iraq Afghanistan Libya Syria how about Nagasaki or Hiroshima or African slave trade or killing Millions of Indians where was your HONOUR. you guys got beat by ppl with slippers and ak47!  Shutit <U+0001F609>
405,"@thinzashunleiyi Shameful as you,whether you like or not, know nothing about the essence of Honour. You are earning money through Project Fund by criticising Myanmar Army which is protecting lives of Terrorism committed by NUG/PDF which are killing thousands of unarmed civilians.R u Terrorist? https://t.co/sg1HxWTWmx"
406,"RT @OccupySchagen: @zg4ever Putin is NOT Paranoïde.
He is realist and knows his enemies for what they are: A gang of merciless &amp; honour-les…"
407,"@zg4ever Putin is NOT Paranoïde.
He is realist and knows his enemies for what they are: A gang of merciless &amp; honour-less gangsters capable of killing an Iranian General on a peace-mission in Baghdad.
He will survive."
408,"Fuck honour killing, i hope you rot in hell https://t.co/vADIQ51V2I"
409,"My question is,Should her Uncle who is a member of our Paracute regiment still be locked away for ridding our world of vermin,I think he should be free and sat with me,It was an honour killing and if he was muslim the govt would have turned a blind eye.Britain has died<U+0001F62B>."
410,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
411,"RT @ninaaouilk: Grateful that I was one of the lucky ones, I survived being born a girl, child abuse, gender based violence &amp; an attempted…"
412,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
413,"RT @IPXakachi: AAAYY I had the amazing honour to draw for Hakka's KiLLiNG ME cover--!!<U+0001F34F> 

I love this song and I had so much fun drawing th…"
414,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
415,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
416,@AkatsukiSugata If anything Islam heavily condemns this woman honour killing shit lmfao
417,"@emilykschrader @HabibKhanT Then there came a time when the children of Jacob (pbuh) turned the good people of Canaan against them by cowardly killing their young men, in the name of honour, simply to avoid giving their sister's hand to the son of their chief in, marriage."
418,"@Cobratate Sorry, Islam is a curse on the world IMO, child brides, FGM, killing of gays, polygamy, honour killing just to name a few appalling reasons."
419,@JustJesseH @Counterpartrisk @ZubyMusic Where in islamic scripture or teachings is honour killing permitted?
420,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
421,"RT @56Flossy: Let’s be fair we have our fair share of Islamic beliefs Honour Killing, Arranged Marriages and undoubtedly a lot more we don’…"
422,"Let’s be fair we have our fair share of Islamic beliefs Honour Killing, Arranged Marriages and undoubtedly a lot more we don’t hear about https://t.co/9waqBmeky3"
423,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Wed | 5 Apr | 20:19 | BST https://t.co/wsEh78IAWB
424,@tezilyas Interesting nobody covering the honour killing trail I wonder why
425,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
426,@BalkanizedAF Kya malum but someone on Insta posted once about how it's self preservation (avoid situations of honour killing maybe)
427,@BelTel Loyalist drugs gangs killing many with their poison but PSNI searching homes of republicans for doing a guard of honour at a funeral. We live in a parallel universe!
428,"@BHKspeaks Never ever<U+0001F615>
Person responsible for so much killing getting honour not good<U+0001F636><U+0001F620><U+0001F624>"
429,"@LBC Another Hindu honour killing eh…,"
430,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
431,"RT @Narenaushyd: Also included in this case 
https://t.co/gYIe1DgXxh"
432,"Also included in this case 
https://t.co/gYIe1DgXxh"
433,"@LondongirlSJ @rakibehsan Back handed racist comment based on muslim families being more ""traditional"" than white families, ie toe the line or face an honour killing"
434,"@Man_deep_t @swati_gs and probably either the M girl will be bumped off in name of honour killing, or the guy converts...
end of story...<U+0001F621>"
435,"@corncommunist My dad’s a perfect example of cognitive dissonance; he has many Muslim friends and has a great deal of respect for Islam

But then there’ll be a story of like, an honour killing or a terror attack and he’ll want to turn the entire Middle East into an ocean and “kill ‘em all”"
436,"@michael106622 Always, honour killing."
437,"@ScentifiedInc1 @Thegrey8 And the world tries so hard to reduce African societies to tribal ones. 

To the best of my knowledge there is not a single African society where honour killing is practiced but Africans are ''uncivilised and primitive'' we are told all the time....."
438,@estherk_k @rakibehsan Nope. The family will hide it and protect the offending relative. If they are capable of killing then they will also have the incentive to kill the victim for loosing their honour.
439,@shammas_anwar @Sargon_of_Akkad @adilray @LBC There’s nothing more respectful or dignified than a good ol’ fashioned honour killing of a young woman for stepping out of line. The whole stoning of adulteresses is also super compassionate.
440,"@Aella_Girl One of these options justifies me killing a lot more children.

""He came at me with a razor scooter, your honour"""
441,"@jodylinskill @chris_armin @paulthomase Any thoughts on one of your twitter #safc pals killing his friend and leaving him? 

Guest of honour at the SOS next week?"
442,Honour killing is one of the most backward and jahiliyyah things a community have to keep in this modern world. I’m so glad we don’t have that kind of bullshit here https://t.co/hztqF1CuxR
443,"@niShellyO There really is no way out of it , family honour supersedes everyone and even uncles will kill you if your parents don’t but sasa the whole family will be doomed, brothers and. Sisters can’t marry revenge killing that don’t stop .."
444,"@AyoCaesar You are Pakistani not British. Take your hatred of women (through TRA activism and pro-Islam stance) back home with you. Thanks. We value our women here instead of honour-killing, stoning and decapitating them."
445,@savagekyoshi Its not a stigma saying ur an ex muslim is a death sentence in pakistan… if the law doesnt get u mob lynching or honour killing by ur family will its guaranteed death
446,"RT @__Bint__e__adam: A woman justifying a woman's honour killing and a sensible man defending that poor dead woman.
That's why I don't supp…"
447,"@schzounito1 @Ryeniken @ClownWorld_ Odd because in the many interviews with people in the Islamic world i""ve seen over the last three decades justifing, child marriage, honour killing, slavery etc, most seem to bring up theological texts to just their actions 

always an imam or religious scholar, saying yeah <U+0001F4AF> <U+262A><U+FE0F>"
448,RT @airmedicmark: @adilray Communities who welcome back the offenders?   Communities that form mobs against teachers because they refuse to…
449,"I forgot to add Nipah virus outbreak in Kerala among worst of 2018! A few mths after Madhu's death, a dalit boy Kevin was killed in d name of honour killing,which was never ever heard b4.
1 correction:Sabarimala verdict was in 2018.Ladies were taken to shrine on New Yr night 2019"
450,"RT @ItsTaz1989: @Sargon_of_Akkad @adilray @LBC They're very progressive:
https://t.co/IbVEdB5cZP"
451,"@librabillie @LaVagabondine There is no mention of honour killing in the Quran or Hadiths. Honour killing, in Islamic definitions, refers specifically to extra-legal punishment by the family against a woman. The action itself has no religious bases but her reasons for committing the act were religious."
452,@SatishCE bro this has nothing to do with islam can you quote any islamic text saying that honour killing is supported and encouraged by islam?
453,"@kaizervonmaanen @LaVagabondine It’s not forbidden by the religion because it’s not mentioned in the hadiths or the Quran. Honour killing, in Islamic definitions, refers specifically to extra-legal punishment by the family against a woman. Those reasons aren’t atheist that’s not what atheist means."
454,@bengal008 @MOHDHUSSAI93034 @VoiceOfHindu71 Show me any honour killing where pasmanda was killed fir marrying syed or Ashraf.
455,"RT @glb__kannadiga: @nanuramu I think you've forgotten Daali Dhananjaya, he always stood for Public, Kannada activism and oppressed people…"
456,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Wed | 5 Apr | 8:19 | BST https://t.co/GQkUp9F33Q
457,"Honour killing. Such traditions are mark of a patriarchal, oppressive society. Education is the only way to free the people from such society. Those who came out of the traditions are going back to it, due to rise of the right wing politics, everywhere. https://t.co/5y3UduZyZi"
458,"@CaribMarie I liked how it was a big honour to have one's head pickled but when tourists started buying the heads as souvenirs the locals started killing low quality enemies so they could increase production to meet the increased demand.

The magic of the marketplace!"
459,"RT @canadaoldway: @SalmaZahid15 @melaniejoly ""Honour killing"" murderers convicted: Afghan Shafia family gets life for daughters murder in C…"
460,"@SalmaZahid15 @melaniejoly ""Honour killing"" murderers convicted: Afghan Shafia family gets life for daughters murder in Canada 

That is what we need in CA? That is the safety Islamophobia assures us? 
Don't care about Palestine, when CA is very unsafe. 

https://t.co/5F7plneNRd"
461,@tayyfirstfan @electron9_1 @femcelhotbox @terfyzu @glumirror Provide the verse that justifies killing your daughter for honour?
462,"@nanuramu I think you've forgotten Daali Dhananjaya, he always stood for Public, Kannada activism and oppressed people
Even in Hoysala he conveyed a message about honour killing

Dhananjaya is unbiased person and man with great ethics"
463,"@barbecuarea @JaneCaro The part where Putin signed the Minsk Peace Agreement but the US/Ukraine did not honour it and instead waged war on the ethnic Russians in the Donbass. Putin went in to stop the killing of innocent families, of which 13000 had already suffered that fate."
464,@Delhiite_ Lekin ye honour killing kaise ho gayi?
465,"@dotcentauri @bunniii95 @terfyzu What’s ur definition of prevalent?
1 honour killing every 10 years… LMAO"
466,@VandBerghEric @terfyzu Show me one scripture in the religion where it condones honour killing. This has nothing to do with religion. In fact if you look at the history of the arabs prior to islam they were barbaric
467,"@hotbarbzwinter Also, practice of Sati, Devadasi , dowry, honour killing"
468,"@MorgothsReview So considering Pakistanis frequently get in trouble for honour-killing their young female relatives, or for marrying them, I don't think they have many qualms about sexually abusing them."
469,"@KensingtonRoyal @jacindaardern @EarthshotPrize An honour! are you serious? This woman, together with other Western leaders (puppets) have allowed a monumental world wide public health disaster with the covid jab injuring &amp; killing thousands. She should be in The Hague, for crimes against humanity.  This is absolutely obscene."
470,@MirYanaSY @swati_gs Even then her family might try honour killing method
471,Honour killing culture is soooo disgusting. Audubillah https://t.co/M4MyoIImLR
472,"RT @WahabSalamah2: Culture that needs to be filtered and condemned

1. Honour killing, most often, is the murder of a woman or girl by male…"
473,Honor killing in Iran: woman murdered by her husband in Kohnuj #nohonorinkilling #Iran #StopFemicideIran https://t.co/fdMjFS6uIJ
474,"RT @FemicideIran: after going with her to the mountains around Zarchin, killed her with multiple stabs  and burned her body. She is the 13t…"
475,"RT @FemicideIran: A woman was stabbed to death by her husband in so-called honor killing in Kahnuj, Kerman Province. The alleged murderer o…"
476,"@Alphavile2018 Evil winnie is hopefully remembered for promoting necklacing, killing of her own people and for killing stompie<U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F> what about his life and the MANY she had necklaced, murdered and killed! I pity those who “honour her” as a “role model”! You should be ashamed!"
477,"RT @__Bint__e__adam: A woman justifying a woman's honour killing and a sensible man defending that poor dead woman.
That's why I don't supp…"
478,"Culture that needs to be filtered and condemned

1. Honour killing, most often, is the murder of a woman or girl by male family members. The killers justify their actions by claiming that the victim has brought dishonor upon the family name or prestige. https://t.co/GZgdiDKUZR"
479,"@Sun46982817Shan What a toxic Dad!

He reminds me of the girl's Dad in #Paavakathaigal where  family is ready to do Honour killing just to keep the family/community ego alive .

#ToxicParent
#TraumaBonding"
480,"@BishopSteiner It’s more honourable because the enemy has a choice to fight or surrender peacefully in open combat.

Where is the honour in killing someone in their sleep?"
481,"@oddswith @igrantubc @AlexanderRaikin That's an very intriguing line of argument.

Also leaves me wondering about dignity and honour as closely related concepts, are mobilised in MAiD and other types of killing."
482,"RT @ashokkmrsingh: Krishna told Arjuna..Those adharmi without honour, self respect and pride are as good as dead..If you kill them you are…"
483,RT @leslierenfrew: It’s v uncomfortable watching the man being understanding &amp; thoughtful while the MOTHER is bitch from hell. Killing her…
484,"@kaizervonmaanen @terfyzu It doesn’t matter if they call themselves Muslim or secular. If they supported this killing, they should be held accountable. Islam prohibits honour based killings"
485,@gwynpw @AndyPlumb4 FGM or honour killing <U+0001F481>
486,RT @leslierenfrew: It’s v uncomfortable watching the man being understanding &amp; thoughtful while the MOTHER is bitch from hell. Killing her…
487,"@MatthewStadlen @DouglasKMurray Instead of fighting Matt, read a book going back 1400 years and educate yourself. Or walk with a cross in a mosque and https://t.co/CARqGsluiz about honour killing."
488,@galattadotcom Honour killing
489,"@victoria_vdw @Schinkentorte @AfD @PetrBystronAfD @BjoernHoecke Ehrenmorde sind gegen den #Koran: https://t.co/DO7fquFEtj
#Burka und #Kopftuch finden sich nicht im #KOran: https://t.co/zXzLzrYplr
Bin Laden, Taliban und IS folgen Hadithen und der sog. Sunnah mehr als den Koran.
#Koranismus"
490,"@AhmadMansour__ Ehrenmorde sind gegen den Koran, aber haben Legimität in den Hadithen. Es ist nun mal so, dass Muslime die Hadithe und die sog. Sunnah von Mohammed über den Koran stellen. Das ist das Problem!
https://t.co/DO7fquFEtj"
491,RT @airmedicmark: @adilray Communities who welcome back the offenders?   Communities that form mobs against teachers because they refuse to…
492,@wamiq_shaikh @Delhiite_ Han han bol to ase rha tum logo ne to apne hindu damado to sar pe bithaya hai..muslim honour killing kre to deen ki khidmat. Hindu kre to <U+0001F3AF> the religion. <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>
493,"RT @IPXakachi: AAAYY I had the amazing honour to draw for Hakka's KiLLiNG ME cover--!!<U+0001F34F> 

I love this song and I had so much fun drawing th…"
494,@dotcentauri @bunniii95 @terfyzu Are you smart enough to understand this doesn’t prove that honour killing is PREVALENT in ALL Muslim countries
495,"@AngelaBruce90 @kelly_white_2 Yes, this is an example of ""honour"" being breached therefore action taken through killing, either as someone has been deemed to have sinned or have been irredeemably tainted societally."
496,RT @christyfx: @marlycosta20 Anyone Remember this? The so called “Honour Killing “ was glorified in episode 160?? https://t.co/XO2KYOntT3
497,"@MDaniyalKhan0 @AqssssSelin I do not have ""any guys being hunted"". I do not support any of the groups in Afghanistan as none of them are worth supporting. Imagine being proud of hunting down Muslims and killing them <U+0001F602> If you have any honour go smoke George Bush who started this war. Mordagow."
498,RT @leslierenfrew: It’s v uncomfortable watching the man being understanding &amp; thoughtful while the MOTHER is bitch from hell. Killing her…
499,RT @christyfx: @marlycosta20 Anyone Remember this? The so called “Honour Killing “ was glorified in episode 160?? https://t.co/XO2KYOntT3
500,"@Disalmo_K @BBCNews You are denying the problem with honour killing and FGM?

Byr bye time waster"
501,It’s v uncomfortable watching the man being understanding &amp; thoughtful while the MOTHER is bitch from hell. Killing her raped daughter. Honour shmonour. https://t.co/d6ravj6HKG
502,"@AfD_Wf @BILD 1) Ehrenmorde sind gegen den Islam: https://t.co/DO7fquFEtj
Ehrenmorde werden von der Bibel befürwortet: https://t.co/ioaQJowTwV"
503,@rolandberrill @dahab303 no thanks honour killing is even worse than fgm
504,"@dwnews Millions of women are persecuted all over the world. Why don’t you discuss honour killing, mass rape and FGM in Germany."
505,@_sumit_verma_ @The_Mooknayak Social media par jyada hoti hai honour killing baaki apne agal bagal kuch dikhayi nahi deta...bhai...nafrat failane ke liye log jhuthi khabre failate hai..har news ko insaan ke tarike se dekhe dalit sc st sawarn obc ke najariye se nahi...
506,"@adilray Communities who welcome back the offenders?   Communities that form mobs against teachers because they refuse to integrate and understand that there’s no blasphemy law here? Communities that practice ‘honour’ killing, forced marriage and inbreeding?  Those communities?"
507,"@adilray Lol, on average a woman a day is in Pakistan is murdered in a so called ""honour killing"". 

Doesn't sound like a very western attitude towards women."
